2022-12-21 11:38:16 INFO  HomePage :83 - Click on 'Computers[[[ChromeDriver: chrome on WINDOWS (e7355bb182a8f1ef6e539b4a0854d1c5)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e7355bb182a8f1ef6e539b4a0854d1c5)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e7355bb182a8f1ef6e539b4a0854d1c5)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e7355bb182a8f1ef6e539b4a0854d1c5)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e7355bb182a8f1ef6e539b4a0854d1c5)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e7355bb182a8f1ef6e539b4a0854d1c5)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e7355bb182a8f1ef6e539b4a0854d1c5)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-21 11:38:17 INFO  ComputerPage :27 - Get pageTitle text : [[ChromeDriver: chrome on WINDOWS (e7355bb182a8f1ef6e539b4a0854d1c5)] -> css selector: div[class='page-title'] h1]
2022-12-21 11:38:20 INFO  HomePage :83 - Click on 'Computers[[[ChromeDriver: chrome on WINDOWS (29a0d0e4e05afc6645b15fd6b4e516a8)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (29a0d0e4e05afc6645b15fd6b4e516a8)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (29a0d0e4e05afc6645b15fd6b4e516a8)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (29a0d0e4e05afc6645b15fd6b4e516a8)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (29a0d0e4e05afc6645b15fd6b4e516a8)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (29a0d0e4e05afc6645b15fd6b4e516a8)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (29a0d0e4e05afc6645b15fd6b4e516a8)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-21 11:38:21 INFO  ComputerPage :34 - Click on '[[[ChromeDriver: chrome on WINDOWS (29a0d0e4e05afc6645b15fd6b4e516a8)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (29a0d0e4e05afc6645b15fd6b4e516a8)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (29a0d0e4e05afc6645b15fd6b4e516a8)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-12-21 11:38:22 INFO  DesktopsPage :35 - Get pageTitle text [[ChromeDriver: chrome on WINDOWS (29a0d0e4e05afc6645b15fd6b4e516a8)] -> css selector: div[class='page-title'] h1]
2022-12-21 11:38:25 INFO  HomePage :83 - Click on 'Computers[[[ChromeDriver: chrome on WINDOWS (e8aa4c5aee6bf8cb7d2a06b37b6bdf6c)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e8aa4c5aee6bf8cb7d2a06b37b6bdf6c)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e8aa4c5aee6bf8cb7d2a06b37b6bdf6c)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e8aa4c5aee6bf8cb7d2a06b37b6bdf6c)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e8aa4c5aee6bf8cb7d2a06b37b6bdf6c)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e8aa4c5aee6bf8cb7d2a06b37b6bdf6c)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e8aa4c5aee6bf8cb7d2a06b37b6bdf6c)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-21 11:38:26 INFO  ComputerPage :34 - Click on '[[[ChromeDriver: chrome on WINDOWS (e8aa4c5aee6bf8cb7d2a06b37b6bdf6c)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (e8aa4c5aee6bf8cb7d2a06b37b6bdf6c)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (e8aa4c5aee6bf8cb7d2a06b37b6bdf6c)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-12-21 11:38:26 INFO  DesktopsPage :52 - Click on product 'Build your own computer[[[ChromeDriver: chrome on WINDOWS (e8aa4c5aee6bf8cb7d2a06b37b6bdf6c)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (e8aa4c5aee6bf8cb7d2a06b37b6bdf6c)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (e8aa4c5aee6bf8cb7d2a06b37b6bdf6c)] -> xpath: //div[@class='products-container']//h2/a]]
2022-12-21 11:38:27 INFO  BuildYourOwnComputerPage :56 - Select processor '[[ChromeDriver: chrome on WINDOWS (e8aa4c5aee6bf8cb7d2a06b37b6bdf6c)] -> id: product_attribute_1]
2022-12-21 11:38:27 INFO  BuildYourOwnComputerPage :61 - Select RAM '[[ChromeDriver: chrome on WINDOWS (e8aa4c5aee6bf8cb7d2a06b37b6bdf6c)] -> id: product_attribute_2]
2022-12-21 11:38:27 INFO  BuildYourOwnComputerPage :69 - Select HDD '[[[ChromeDriver: chrome on WINDOWS (e8aa4c5aee6bf8cb7d2a06b37b6bdf6c)] -> xpath: //dd[@id='product_attribute_input_3']//li/label], [[ChromeDriver: chrome on WINDOWS (e8aa4c5aee6bf8cb7d2a06b37b6bdf6c)] -> xpath: //dd[@id='product_attribute_input_3']//li/label]]
